op,motor,bank,type,log_enum_name,tmcl_status,in_driver_Parameters_lists,driver_symbols
GAP,0,,86,UNKNOWN_PARAM,REPLY_WRONG_TYPE,no,
GAP,0,,87,UNKNOWN_PARAM,REPLY_WRONG_TYPE,no,
GAP,0,,88,UNKNOWN_PARAM,REPLY_WRONG_TYPE,no,
GAP,0,,158,UNKNOWN_PARAM,REPLY_WRONG_TYPE,no,
GAP,0,,159,UNKNOWN_PARAM,REPLY_WRONG_TYPE,no,
GAP,0,,160,UNKNOWN_PARAM,REPLY_WRONG_TYPE,no,
GAP,0,,179,UNKNOWN_PARAM,REPLY_WRONG_TYPE,no,
GAP,0,,180,UNKNOWN_PARAM,REPLY_WRONG_TYPE,no,
GAP,0,,181,SPI_ENCODER_CS_SETTLE_DELAY_TIME,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_ENCODER_CS_SETTLE_DELAY_TIME
GAP,0,,182,SPI_ENCODER_CS_IDLE_DELAY_TIME,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_ENCODER_CS_IDLE_DELAY_TIME
GAP,0,,183,SPI_ENCODER_MAIN_TRANSFER_CMD_SIZE,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_ENCODER_MAIN_TRANSFER_CMD_SIZE
GAP,0,,184,SPI_ENCODER_SECONDARY_TRANSFER_CMD_SIZE,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_ENCODER_SECONDARY_TRANSFER_CMD_SIZE
GAP,0,,185,SPI_ENCODER_TRANSFER_DATA_3_0,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_ENCODER_TRANSFER_DATA_3_0
GAP,0,,186,SPI_ENCODER_TRANSFER_DATA_7_4,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_ENCODER_TRANSFER_DATA_7_4
GAP,0,,187,SPI_ENCODER_TRANSFER_DATA_11_8,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_ENCODER_TRANSFER_DATA_11_8
GAP,0,,188,SPI_ENCODER_TRANSFER_DATA_15_12,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_ENCODER_TRANSFER_DATA_15_12
GAP,0,,189,SPI_ENCODER_TRANSFER,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_ENCODER_TRANSFER
GAP,0,,190,SPI_ENCODER_POSITION_COUNTER_MASK,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_ENCODER_POSITION_COUNTER_MASK
GAP,0,,191,SPI_ENCODER_POSITION_COUNTER_SHIFT,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_ENCODER_POSITION_COUNTER_SHIFT
GAP,0,,192,SPI_ENCODER_POSITION_COUNTER_VALUE,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_ENCODER_POSITION_COUNTER_VALUE
GAP,0,,193,SPI_ENCODER_COMMUTATION_ANGLE,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_ENCODER_COMMUTATION_ANGLE
GAP,0,,194,SPI_ENCODER_INITIALIZATION_METHOD,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_ENCODER_INITIALIZATION_METHOD
GAP,0,,195,SPI_ENCODER_DIRECTION,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_ENCODER_DIRECTION
GAP,0,,196,SPI_ENCODER_OFFSET,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_ENCODER_OFFSET
GAP,0,,197,SPI_LUT_CORRECTION_ENABLE,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_LUT_CORRECTION_ENABLE
GAP,0,,198,SPI_LUT_ADDRESS_SELECT,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_LUT_ADDRESS_SELECT
GAP,0,,199,SPI_LUT_DATA,REPLY_CMD_NOT_AVAILABLE,yes,FEEDBACK_SENSOR_CONFIG_LIST:SPI_LUT_DATA
